"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1932-04-21,6.2400
1932-04-22,5.9600
1932-04-23,6.0100
1932-04-25,6.0300
1932-04-26,6.1200
1932-04-27,6.2700
1932-04-28,6.0300
1932-04-29,5.8300
1932-04-30,5.8300
1932-05-02,5.7400
1932-05-03,5.6600
1932-05-04,5.7400
1932-05-05,5.6800
1932-05-06,6.0900
1932-05-07,6.0000
1932-05-09,5.9600
1932-05-10,6.0100
1932-05-11,6.0000
1932-05-12,5.8000
1932-05-13,5.6000
1932-05-14,5.5000
1932-05-16,5.6100
1932-05-17,5.5900
1932-05-18,5.4500
1932-05-19,5.4800
1932-05-20,5.4800
1932-05-21,5.4700
1932-05-23,5.4300
1932-05-24,5.2100
1932-05-25,5.0300
1932-05-26,5.1100
1932-05-27,4.8300
1932-05-28,4.8500
1932-05-31,4.4700
1932-06-01,4.4000
1932-06-02,4.6400
1932-06-03,4.8900
1932-06-04,5.2200
1932-06-06,5.0700
1932-06-07,4.8500
1932-06-08,4.5700
1932-06-09,4.5700
1932-06-10,4.9200
1932-06-11,4.8700
1932-06-13,4.8200
1932-06-14,4.9400
1932-06-15,5.1200
1932-06-16,5.1200
1932-06-17,4.8300
1932-06-18,4.8500
1932-06-20,4.8900
1932-06-21,4.7700
1932-06-22,4.7700
1932-06-23,4.8000
1932-06-24,4.6000
1932-06-25,4.5900
1932-06-27,4.4400
1932-06-28,4.4400
1932-06-29,4.5100
1932-06-30,4.4300
1932-07-01,4.6000
1932-07-05,4.5000
1932-07-06,4.6000
1932-07-07,4.4500
1932-07-08,4.4100
1932-07-09,4.4600
1932-07-11,4.6000
1932-07-12,4.6000
1932-07-13,4.8200
1932-07-14,4.7900
1932-07-15,4.9300
1932-07-16,4.9400
1932-07-18,4.8000
1932-07-19,4.7800
1932-07-20,4.9300
1932-07-21,5.0500
1932-07-22,5.2000
1932-07-23,5.2100
1932-07-25,5.4800
1932-07-26,5.4000
1932-07-27,5.6700
1932-07-28,5.8500
1932-07-29,6.0300
1932-07-30,6.1000
1932-08-01,6.1100
1932-08-02,5.8700
1932-08-03,6.3900
1932-08-04,6.5200
1932-08-05,6.8000
1932-08-06,7.2200
1932-08-08,7.4300
1932-08-09,7.3900
1932-08-10,7.6500
1932-08-11,7.6100
1932-08-12,7.0000
1932-08-13,6.9400
1932-08-15,7.4400
1932-08-16,7.6800
1932-08-17,7.5100
1932-08-18,7.6000
1932-08-19,7.5300
1932-08-20,7.5600
1932-08-22,7.7700
1932-08-23,8.1500
1932-08-24,8.3300
1932-08-25,8.2600
1932-08-26,8.3900
1932-08-27,8.5700
1932-08-29,8.5800
1932-08-30,8.4700
1932-08-31,8.3900
1932-09-01,8.4700
1932-09-02,8.8400
1932-09-03,9.0600
1932-09-06,8.9100
1932-09-07,9.3100
1932-09-08,8.9700
1932-09-09,8.7500
1932-09-10,8.7800
1932-09-12,8.1500
1932-09-13,7.8000
1932-09-14,7.3500
1932-09-15,7.6600
1932-09-16,7.5700
1932-09-17,7.5000
1932-09-19,7.3400
1932-09-20,7.6200
1932-09-21,8.5200
1932-09-22,8.2600
1932-09-23,8.4000
1932-09-24,8.5200
1932-09-26,8.0400
1932-09-27,8.1300
1932-09-28,8.3600
1932-09-29,8.1000
1932-09-30,8.0800
1932-10-01,8.1500
1932-10-03,8.0600
1932-10-04,8.0500
1932-10-05,7.3900
1932-10-06,7.4300
1932-10-07,7.0200
1932-10-08,6.7700
1932-10-10,6.4200
1932-10-11,6.8800
1932-10-13,6.6700
1932-10-14,7.1300
1932-10-15,7.2000
1932-10-17,7.0000
1932-10-18,7.1300
1932-10-19,7.4000
1932-10-20,7.2300
1932-10-21,6.8200
1932-10-22,6.7900
1932-10-24,6.8300
1932-10-25,6.7600
1932-10-26,6.8900
1932-10-27,6.9500
1932-10-28,7.0900
1932-10-29,7.0000
1932-10-31,6.9600
1932-11-01,6.7600
1932-11-02,6.5200
1932-11-03,6.4800
